iter	Passed	Remaining
0	1	120
1	3	149
2	4	132
3	5	123
4	6	117
5	7	114
6	8	110
7	9	107
8	10	104
9	11	102
10	12	99
11	13	98
12	14	96
13	15	94
14	16	94
15	17	93
16	18	91
17	19	90
18	20	88
19	21	87
20	22	85
21	23	84
22	24	83
23	25	81
24	26	80
25	27	78
26	28	77
27	29	76
28	30	75
29	31	73
30	32	72
31	33	71
32	34	69
33	35	68
34	36	67
35	37	66
36	37	64
37	38	63
38	39	61
39	40	60
40	41	59
41	41	57
42	42	56
43	43	55
44	46	56
45	47	55
46	47	54
47	48	52
48	49	51
49	50	50
50	51	49
51	51	47
52	52	46
53	53	45
54	54	44
55	55	43
56	55	42
57	56	40
58	57	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	61	33
65	62	32
66	63	31
67	63	30
68	64	29
69	65	28
70	66	27
71	66	26
72	67	25
73	68	24
74	69	23
75	69	22
76	70	21
77	71	20
78	71	19
79	72	18
80	73	17
81	73	16
82	75	15
83	75	14
84	76	13
85	77	12
86	78	11
87	78	10
88	79	9
89	80	8
90	81	8
91	81	7
92	82	6
93	83	5
94	84	4
95	84	3
96	85	2
97	86	1
98	87	0
99	87	0
