iter	Passed	Remaining
0	152	152305
1	154	77275
2	157	52402
3	159	39816
4	161	32220
5	163	27106
6	164	23402
7	166	20622
8	167	18468
9	169	16742
10	170	15331
11	171	14118
12	172	13087
13	173	12191
14	173	11421
15	174	10753
16	175	10153
17	176	9620
18	177	9143
19	177	8716
20	178	8327
21	179	7976
22	180	7653
23	180	7358
24	181	7084
25	182	6846
26	183	6624
27	185	6431
28	185	6227
29	186	6041
30	187	5867
31	188	5702
32	189	5545
33	190	5399
34	190	5259
35	191	5128
36	192	5004
37	193	4887
38	193	4776
39	194	4669
40	195	4569
41	196	4475
42	197	4397
43	198	4312
44	199	4233
45	200	4155
46	201	4078
47	201	4005
48	202	3934
49	203	3867
50	204	3801
51	205	3738
52	205	3677
53	206	3623
54	207	3568
55	208	3518
56	209	3473
57	211	3428
58	212	3384
59	213	3347
60	214	3305
61	215	3260
62	216	3218
63	217	3184
64	219	3151
65	219	3112
66	220	3074
67	221	3038
68	222	3001
69	223	2965
70	224	2932
71	225	2905
72	227	2888
73	228	2857
74	229	2829
75	230	2799
76	231	2770
77	231	2741
78	232	2713
79	233	2686
80	234	2659
81	235	2635
82	235	2605
83	236	2581
84	237	2556
85	238	2535
86	239	2516
87	240	2497
88	242	2478
89	243	2462
90	245	2450
91	246	2435
92	247	2414
93	248	2392
94	248	2371
95	249	2350
96	250	2330
97	251	2312
98	252	2294
99	253	2280
100	254	2268
101	256	2254
102	256	2237
103	257	2221
104	259	2209
105	260	2197
106	261	2182
107	262	2166
108	263	2151
109	264	2136
110	264	2122
111	265	2106
112	266	2093
113	267	2080
114	268	2069
115	269	2057
116	270	2042
117	271	2031
118	272	2018
119	273	2006
120	274	1994
121	275	1982
122	276	1970
123	277	1958
124	278	1946
125	278	1935
126	279	1922
127	280	1911
128	281	1903
129	283	1896
130	284	1885
131	285	1874
132	285	1863
133	286	1852
134	287	1842
135	288	1830
136	288	1820
137	289	1809
138	290	1799
139	291	1788
140	291	1778
141	292	1767
142	293	1757
143	293	1747
144	294	1739
145	296	1732
146	297	1726
147	298	1720
148	299	1711
149	300	1702
150	301	1693
151	301	1684
152	302	1675
153	303	1666
154	304	1658
155	304	1649
156	305	1641
157	306	1632
158	307	1624
159	307	1616
160	308	1606
161	309	1601
162	310	1594
163	312	1591
164	313	1584
165	313	1576
166	314	1568
167	315	1561
168	316	1554
169	316	1546
170	317	1539
171	318	1532
172	319	1525
173	319	1518
174	320	1511
175	321	1504
176	322	1497
177	322	1490
178	323	1485
179	324	1479
180	325	1473
181	326	1467
182	327	1461
183	327	1454
184	328	1448
185	329	1442
186	330	1435
187	331	1429
188	331	1423
189	332	1417
190	333	1411
191	333	1405
192	334	1398
193	335	1392
194	335	1387
195	336	1381
196	337	1375
197	338	1371
198	339	1366
199	340	1361
200	341	1356
201	342	1351
202	342	1346
203	343	1341
204	344	1336
205	345	1331
206	346	1325
207	346	1320
208	347	1315
209	348	1310
210	349	1305
211	349	1300
212	350	1295
213	351	1290
214	352	1285
215	352	1281
216	354	1277
217	354	1272
218	355	1269
219	357	1266
220	357	1261
221	358	1256
222	359	1252
223	360	1247
224	360	1243
225	361	1239
226	362	1234
227	363	1230
228	364	1225
229	364	1221
230	365	1216
231	366	1212
232	367	1208
233	367	1204
234	368	1201
235	369	1197
236	370	1193
237	371	1189
238	372	1185
239	373	1181
240	373	1177
241	374	1174
242	376	1171
243	376	1168
244	377	1164
245	378	1160
246	379	1157
247	380	1153
248	381	1150
249	382	1148
250	384	1145
251	385	1143
252	386	1139
253	386	1136
254	387	1132
255	388	1128
256	389	1125
257	389	1121
258	390	1117
259	391	1113
260	392	1110
261	392	1106
262	393	1103
263	394	1099
264	395	1095
265	395	1092
266	396	1088
267	397	1086
268	399	1084
269	399	1080
270	400	1077
271	401	1073
272	401	1070
273	402	1066
274	403	1063
275	404	1060
276	404	1056
277	405	1053
278	406	1050
279	407	1047
280	407	1043
281	408	1040
282	409	1037
283	409	1033
284	410	1030
285	411	1028
286	413	1026
287	413	1023
288	414	1020
289	415	1017
290	416	1013
291	416	1010
292	417	1007
293	418	1004
294	419	1001
295	419	998
296	420	995
297	421	992
298	422	989
299	422	986
300	423	983
301	424	980
302	425	977
303	426	975
304	427	973
305	427	970
306	428	967
307	429	964
308	430	962
309	430	959
310	431	956
311	432	953
312	433	950
313	433	948
314	434	945
315	435	942
316	436	939
317	436	936
318	437	934
319	438	931
320	439	929
321	439	926
322	440	923
323	442	922
324	443	920
325	443	917
326	444	914
327	445	912
328	446	910
329	446	907
330	447	904
331	448	902
332	449	899
333	449	896
334	450	894
335	451	891
336	452	889
337	452	886
338	453	884
339	454	881
340	455	879
341	456	878
342	457	876
343	458	874
344	459	872
345	460	870
346	461	868
347	462	865
348	462	863
349	463	861
350	464	859
351	465	856
352	466	854
353	466	852
354	467	849
355	468	847
356	469	845
357	470	844
358	471	842
359	472	840
360	473	838
361	474	836
362	475	833
363	475	831
364	476	829
365	477	826
366	478	824
367	478	822
368	479	820
369	480	818
370	481	815
371	481	813
372	482	811
373	483	809
374	485	808
375	486	808
376	488	806
377	489	804
378	489	802
379	490	800
380	491	798
381	492	796
382	492	794
383	493	791
384	494	789
385	495	787
386	495	785
387	496	783
388	497	781
389	498	779
390	499	777
391	501	777
392	501	775
393	502	772
394	503	770
395	504	768
396	504	766
397	505	764
398	506	763
399	507	761
400	508	759
401	509	757
402	510	755
403	511	753
404	511	752
405	512	750
406	514	748
407	515	747
408	516	746
409	517	744
410	517	742
411	518	740
412	519	738
413	520	736
414	520	734
415	521	732
416	522	730
417	523	728
418	523	726
419	524	724
420	525	722
421	526	720
422	526	718
423	527	716
424	528	715
425	530	714
426	531	712
427	531	710
428	532	708
429	533	707
430	534	705
431	534	703
432	535	701
433	536	699
434	537	697
435	537	695
436	538	694
437	539	692
438	540	690
439	540	688
440	541	686
441	542	685
442	543	683
443	544	682
444	545	680
445	546	678
446	547	676
447	548	675
448	548	673
449	549	671
450	550	669
451	550	667
452	551	666
453	552	664
454	553	662
455	553	660
456	554	658
457	555	657
458	556	655
459	557	654
460	558	653
461	559	652
462	560	650
463	561	648
464	562	647
465	563	645
466	564	643
467	564	641
468	565	640
469	566	638
470	567	636
471	568	635
472	569	634
473	570	632
474	571	631
475	571	629
476	572	627
477	573	626
478	574	625
479	575	623
480	576	622
481	577	620
482	578	619
483	579	617
484	580	616
485	581	614
486	582	613
487	583	612
488	585	611
489	586	610
490	589	610
491	590	609
492	591	607
493	592	606
494	593	605
495	594	603
496	595	602
497	595	600
498	596	599
499	597	597
500	598	595
501	600	595
502	602	594
503	603	593
504	604	592
505	605	591
506	606	589
507	607	588
508	608	586
509	609	585
510	609	583
511	610	582
512	612	581
513	612	579
514	614	578
515	616	578
516	617	576
517	618	575
518	619	574
519	620	572
520	621	570
521	621	569
522	622	567
523	623	566
524	624	564
525	624	563
526	625	561
527	626	560
528	627	558
529	630	559
530	631	557
531	632	556
532	633	554
533	633	553
534	634	551
535	635	550
536	636	548
537	637	547
538	637	545
539	638	544
540	639	542
541	640	540
542	640	539
543	641	537
544	642	536
545	644	535
546	645	534
547	645	532
548	646	531
549	647	529
550	648	528
551	649	526
552	649	525
553	650	523
554	651	522
555	651	520
556	652	519
557	653	517
558	654	515
559	654	514
560	655	512
561	656	511
562	658	510
563	659	509
564	659	507
565	660	506
566	661	505
567	662	503
568	662	502
569	663	500
570	664	499
571	665	497
572	665	496
